architecture,hidden_sizes,optimizer,lr,epochs_to_converge,final_avg_train_loss,train_accuracy,val_accuracy,time_s
arch_3h,"256,128,64",SGD_stochastic,0.001,13,0.0009381305290911152,1.0,0.9924443822582902,404.13760781288147
arch_3h,"256,128,64",BatchGD,0.001,2,1.6087169647216797,0.22292570309220652,0.22009234643906533,7.981607913970947
arch_3h,"256,128,64",SGD_momentum,0.001,8,0.006911035476915279,0.9987057506646145,0.9927242199524275,318.67672061920166
arch_3h,"256,128,64",SGD_NAG,0.001,10,0.004534884813181369,0.998810689799916,0.9924443822582902,444.03779911994934
arch_3h,"256,128,64",RMSProp,0.001,20,0.4027744544084164,0.9585490415558976,0.9543864558556038,1861.7449610233307
arch_3h,"256,128,64",Adam,0.001,20,0.1622064452668657,0.9835245557576605,0.9799916048691759,3279.593296289444
arch_4h,"512,256,128,64",SGD_stochastic,0.001,10,0.001462693130332684,0.9999300405764656,0.9918847068700154,377.90304684638977
arch_4h,"512,256,128,64",BatchGD,0.001,2,1.614200472831726,0.19795018889044355,0.20735973135581362,8.372132778167725
arch_4h,"512,256,128,64",SGD_momentum,0.001,11,0.0036820164880077173,0.998985588358752,0.9935637330348398,650.9355738162994
arch_4h,"512,256,128,64",SGD_NAG,0.001,7,0.007601819581629749,0.9975514201762977,0.991604869175878,438.9220697879791
arch_4h,"512,256,128,64",RMSProp,0.001,20,2.531674374202828,0.5061214495592556,0.5073457394711067,3049.770780801773
arch_4h,"512,256,128,64",Adam,0.001,20,0.6175130991992165,0.9552609486497832,0.952847348537848,6303.523325204849
arch_5h,"512,256,128,64,32",SGD_stochastic,0.001,10,0.0008097658837082373,0.9999300405764656,0.9918847068700154,394.3378450870514
arch_5h,"512,256,128,64,32",BatchGD,0.001,2,1.6169284582138062,0.21446061284455017,0.22009234643906533,8.182968854904175
arch_5h,"512,256,128,64,32",SGD_momentum,0.001,7,0.010005804877563708,0.998985588358752,0.9927242199524275,411.94364523887634
arch_5h,"512,256,128,64,32",SGD_NAG,0.001,8,0.010637122396035788,0.9970617042115573,0.9917447880229467,564.9061512947083
arch_5h,"512,256,128,64,32",RMSProp,0.001,20,1.7629071410809183,0.5705190989226249,0.5746467049111516,3078.2070138454437
arch_5h,"512,256,128,64,32",Adam,0.001,20,0.47314633792217287,0.960437945991325,0.9564852385616343,6224.421887636185
